,2018 Rank,City,State,2018 estimate,2010 census,Percentage of change,Land area sq mi,Land area sq km,Population density /sq mi,Population density /sq km,Location,Link,LD,SD
1,1,New York City,New York,8398748,8175133,2.74,301.5,780.9,28317,10933,40°39′49″N73°56′19″W﻿ / ﻿40.6635°N 73.9387°W﻿ /40.6635; -73.9387﻿ ,/wiki/New_York_City,"Epicenter of the arts. Architectural darling. Dining and shopping capital. Trendsetter. New York City wears many crowns, and spreads an irresistible feast for all.",is looking skyward in awe
2,2,Los Angeles,California,3990456,3792621,5.22,468.7,1213.9,8484,3276,34°01′10″N118°24′39″W﻿ / ﻿34.0194°N 118.4108°W﻿ /34.0194; -118.4108﻿ ,/wiki/Los_Angeles,"Ruggedly good looking, deeply creative, with a sunny disposition to boot…if LA were on Tinder, the app would crash.",is cinematic cityscapes
3,3,Chicago,Illinois,2705994,2695598,0.39,227.3,588.7,11900,4600,41°50′15″N87°40′54″W﻿ / ﻿41.8376°N 87.6818°W﻿ /41.8376; -87.6818﻿ ,/wiki/Chicago,"Steely skyscrapers, top chefs, rocking festivals – the Windy City will blow you away with its low-key cultured awesomeness.",is full of architectural wonders
4,4,Houston,Texas,2325502,2100263,10.72,637.5,1651.1,3613,1395,29°47′12″N95°23′27″W﻿ / ﻿29.7866°N 95.3909°W﻿ /29.7866; -95.3909﻿ ,/wiki/Houston,"Think laid-back, pick-up truck and boot-scooting town meets high-powered, high-cultured and high-heeled metropolis. During the day, chill out in your flip-flops, take in museums and go shopping, then hit happy hour on a leaf-shaded deck. At night, revel in culinary or cultural bliss – the restaurant and entertainment scenes are renowned across the region. Here, starched jeans are de rigueur in all but the very fanciest of restaurants.",is the heart of Texas
5,5,Phoenix,Arizona,1660272,1445632,14.85,517.6,1340.6,3120,1200,33°34′20″N112°05′24″W﻿ / ﻿33.5722°N 112.0901°W﻿ /33.5722; -112.0901﻿ ,"/wiki/Phoenix,_Arizona","Phoenix is Arizona's indubitable cultural and economic powerhouse, a thriving desert metropolis boasting some of the best Southwestern and Mexican food you'll find anywhere. And with more than 300 days of sunshine a year, exploring the 'Valley of the Sun' is an agreeable proposition (except in the sapping heat from June to August).", 
6,6,Philadelphia,Pennsylvania,1584138,1526006,3.81,134.2,347.6,11683,4511,40°00′34″N75°08′00″W﻿ / ﻿40.0094°N 75.1333°W﻿ /40.0094; -75.1333﻿ ,/wiki/Philadelphia,"Blessed with the glamour and culture of a big city, 'Philly' as it's affectionately known, also delights visitors with its rich history and small-town charm.",is history come to life
7,7,San Antonio,Texas,1532233,1327407,15.43,461,1194,3238,1250,29°28′21″N98°31′30″W﻿ / ﻿29.4724°N 98.5251°W﻿ /29.4724; -98.5251﻿ ,/wiki/San_Antonio,"Tourism has been good to San Antonio and the sprawling city reciprocates with a wide variety of attractions to keep everyone entertained. In addition to its colorful, European-style River Walk lined with cafes and bars, it rewards visitors with a well-rounded menu of museums, theme parks, outdoor activities and historical sites. The Alamo is a stalwart tourist favorite, and the scene of the most famous battle in the fight for Texas' independence from Mexico. You can find four other beautifully preserved Spanish missions within the city limits.",
8,8,San Diego,California,1425976,1307402,9.07,325.2,842.3,4325,1670,32°48′55″N117°08′06″W﻿ / ﻿32.8153°N 117.1350°W﻿ /32.8153; -117.1350﻿ ,/wiki/San_Diego,"New York has its cabbie, Chicago its bluesman and Seattle its coffee-drinking boho. San Diego has its surfer dude, with his tousled hair, great tan and gentle enthusiasm; he looks like he’s on a perennial vacation, and when he wishes you welcome, he really means it.","is surf, suds and sunsets"
9,9,Dallas,Texas,1345047,1197816,12.29,340.9,882.9,3866,1493,32°47′36″N96°45′59″W﻿ / ﻿32.7933°N 96.7665°W﻿ /32.7933; -96.7665﻿ ,/wiki/Dallas,"Dallas and Fort Worth may be next-door neighbors, but they're hardly twins – or even kissing cousins. Long regarded as being as divergent as an Escalade-driving sophisticate and a rancher in a dusty pickup truck, these two cities have starkly different facades. Beyond appearances, however, they share a love of high (and low) culture and good old-fashioned Texan fun. In the surrounding area is a plethora of fabulous small towns worthy of a road trip, including Waxahachie and McKinney.", 
10,10,San Jose,California,1030119,945942,8.9,177.5,459.7,5777,2231,37°17′48″N121°49′08″W﻿ / ﻿37.2967°N 121.8189°W﻿ /37.2967; -121.8189﻿ ,"/wiki/San_Jose,_California","Though culturally diverse and historical, San Jose – awash in Silicon Valley’s suburbia – has always been in San Francisco’s shadow. Founded in 1777 as El Pueblo de San José de Guadalupe, San Jose is California’s oldest Spanish civilian settlement. Its downtown is small and scarcely used for a city of its size, though it does bustle with twenty-something clubgoers on weekends. Industrial parks, high-tech computer firms and look-alike housing developments are sprawled across the city’s landscape, taking over from where farms, ranches and open spaces once spread between the bay and the surrounding hills.",
